iter	Logloss
0	0.6897248058
1	0.6845723319
2	0.6792567341
3	0.6740895946
4	0.6691579803
5	0.6644618107
6	0.6598288913
7	0.654989342
8	0.6495946207
9	0.6460656307
10	0.6417197395
11	0.6375098801
12	0.6328292225
13	0.6297052758
14	0.6260097464
15	0.6213842788
16	0.6175473351
17	0.6133746086
18	0.6093943295
19	0.6057851477
20	0.6023414589
21	0.5990847355
22	0.5955484514
23	0.5916061915
24	0.5885375558
25	0.5849272809
26	0.5819352843
27	0.5788865454
28	0.5758664953
29	0.573127029
30	0.570018206
31	0.5670961238
32	0.5637660906
33	0.5612555942
34	0.559651054
35	0.55641523
36	0.5533164027
37	0.5508617824
38	0.5493918001
39	0.5465704041
40	0.5441586754
41	0.5416087513
42	0.5397660608
43	0.5372822704
44	0.5346763184
45	0.5330243922
46	0.5310726898
47	0.52828309
48	0.5259081271
49	0.523723873
50	0.5215634846
51	0.5190636949
52	0.5169437401
53	0.5149139002
54	0.5124340949
55	0.5103957903
56	0.5080797863
57	0.5059225885
58	0.5040027009
59	0.5021403584
60	0.5005382263
61	0.4991174178
62	0.4981931305
63	0.4963371762
64	0.494365023
65	0.4927211502
66	0.4910395041
67	0.4892663545
68	0.4877730489
69	0.4864747032
70	0.4849555236
71	0.4832480538
72	0.4815994014
73	0.4798813347
74	0.4782073412
75	0.4767485914
76	0.4750887892
77	0.4739350192
78	0.4725403188
79	0.4708200577
80	0.4691866844
81	0.4678496144
82	0.4664631386
83	0.4653524021
84	0.4644593129
85	0.4630494945
86	0.4617751025
87	0.4612778249
88	0.4602045715
89	0.4589475215
90	0.4583629209
91	0.4573635437
92	0.4564205874
93	0.4551999206
94	0.4541847385
95	0.4529813459
96	0.4520526826
97	0.450793379
98	0.4495169581
99	0.4491006198
100	0.4482060604
101	0.4472394994
102	0.4464017373
103	0.4454677804
104	0.4441853015
105	0.4430684846
106	0.4420964471
107	0.4415458516
108	0.4406457405
109	0.4403357149
110	0.43906779
111	0.4380198459
112	0.4376983338
113	0.4369138357
114	0.4360892524
115	0.4348317597
116	0.434052201
117	0.4335845094
118	0.4326108745
119	0.4321361431
120	0.4318877109
121	0.431146332
122	0.4302910942
123	0.4294502111
124	0.4286234529
125	0.4276498327
126	0.4269998286
127	0.4261899733
128	0.425519369
129	0.4246833426
130	0.4239138469
131	0.4233346202
132	0.4225469359
133	0.4216942607
134	0.420986357
135	0.4201345001
136	0.4199041988
137	0.4194073396
138	0.4191603909
139	0.4189506173
140	0.418179256
141	0.4180174021
142	0.4171918927
143	0.416416174
144	0.4156980043
145	0.4153147464
146	0.4148607202
147	0.4143786533
148	0.4139026728
149	0.4131509662
150	0.4126873769
151	0.4119970814
152	0.4114484514
153	0.4108776211
154	0.4104169051
155	0.4099558085
156	0.4094844778
157	0.4087436106
158	0.4081524625
159	0.4076434298
160	0.4070039155
161	0.406778058
162	0.4061643468
163	0.4056055077
164	0.4050238917
165	0.404485946
166	0.4039635082
167	0.403673634
168	0.4032058244
169	0.4030045478
170	0.4027206351
171	0.40231014
172	0.4017098951
173	0.4012787899
174	0.4007584253
175	0.4003532452
176	0.3998600847
177	0.3995407945
178	0.3992360949
179	0.3987570924
180	0.3987058502
181	0.3983659755
182	0.3979254218
183	0.3975516536
184	0.3970610568
185	0.3966867685
186	0.3964666561
187	0.3960773516
188	0.3956337488
189	0.3952505915
190	0.3949024631
191	0.3943733687
192	0.3938997725
193	0.3935194949
194	0.3930644974
195	0.3929523377
196	0.3924951667
197	0.3921499255
198	0.3917002525
199	0.3912914666
200	0.390719668
201	0.3904301584
202	0.3901559024
203	0.3900940574
204	0.3897941198
205	0.3893919504
206	0.3892765287
207	0.389030686
208	0.388721674
209	0.3881530069
210	0.3879299145
211	0.3873327877
212	0.3869443238
213	0.3867242827
214	0.3864181413
215	0.3862092317
216	0.3858419252
217	0.3853485368
218	0.3848664296
219	0.3847489233
220	0.3846340686
221	0.3843039562
222	0.3842399847
223	0.3838359289
224	0.3835714323
225	0.3832686956
226	0.3830733702
227	0.3828239899
228	0.3825224966
229	0.3824034378
230	0.3822351406
231	0.38193503
232	0.381666996
233	0.3815084111
234	0.3810477672
235	0.3807855014
236	0.3803835566
237	0.37989991
238	0.3795642092
239	0.3795350639
240	0.3792349108
241	0.3789872506
242	0.3787425403
243	0.3783527276
244	0.3781228034
245	0.377934507
246	0.3776477502
247	0.3775389787
248	0.3774716886
249	0.3773071182
250	0.3769069987
251	0.3767220072
252	0.3762881143
253	0.3758611645
254	0.3754640761
255	0.3750428103
256	0.3746739251
257	0.3743768788
258	0.3740625356
259	0.3738249259
260	0.3735639746
261	0.3733808933
262	0.3732064922
263	0.3730830603
264	0.3728450176
265	0.3725811934
266	0.3723689023
267	0.3720706362
268	0.3716562425
269	0.3712425413
270	0.3708833242
271	0.370744195
272	0.3703645909
273	0.3699468046
274	0.3696241401
275	0.3694374389
276	0.3691980869
277	0.3689987362
278	0.3688026547
279	0.3685324758
280	0.3683125985
281	0.3682134434
282	0.3679038901
283	0.3675760853
284	0.367560779
285	0.3672147889
286	0.3669098828
287	0.3667888272
288	0.36656936
289	0.3662233604
290	0.3659586151
291	0.3657071778
292	0.3653788249
293	0.3651481342
294	0.3650032786
295	0.3646934072
296	0.3643681512
297	0.3641020469
298	0.3637907549
299	0.3636588462
300	0.363384484
301	0.3632470117
302	0.3629967942
303	0.3627378424
304	0.3624219499
305	0.3621597732
306	0.3619718434
307	0.3616918586
308	0.3614887226
309	0.3610551679
310	0.3608028997
311	0.3606886301
312	0.3605499186
313	0.3603215439
314	0.3599942109
315	0.3598578154
316	0.3596396515
317	0.3595201035
318	0.3591868734
319	0.359118664
320	0.3590992387
321	0.3589113149
322	0.3587431768
323	0.3584802945
324	0.3581488751
325	0.3578499522
