iter	Passed	Remaining
0	2	2265
1	8	4233
2	12	4234
3	17	4317
4	21	4283
5	26	4383
6	29	4137
7	34	4227
8	39	4368
9	45	4512
10	48	4402
11	54	4502
12	60	4597
13	64	4508
14	69	4561
15	74	4600
16	78	4531
17	83	4572
18	89	4633
19	92	4536
20	95	4440
21	99	4439
22	104	4420
23	107	4379
24	113	4415
25	118	4436
26	121	4380
27	124	4310
28	129	4325
29	131	4263
30	135	4221
31	140	4247
32	145	4254
33	147	4186
34	149	4120
35	158	4253
36	162	4227
37	165	4194
38	167	4136
39	171	4123
40	175	4106
41	181	4129
42	183	4080
43	186	4051
44	190	4050
45	196	4080
46	200	4059
47	203	4037
48	209	4056
49	213	4057
50	217	4049
51	222	4063
52	228	4076
53	231	4055
54	236	4069
55	242	4079
56	245	4054
57	248	4030
58	253	4039
59	257	4034
60	260	4004
61	262	3965
62	264	3932
63	268	3931
64	274	3941
65	277	3920
66	282	3932
67	286	3927
68	289	3908
69	294	3907
70	298	3900
71	302	3904
72	306	3892
73	312	3913
74	316	3902
75	319	3886
76	323	3872
77	325	3846
78	328	3832
79	332	3822
80	336	3815
81	340	3807
82	343	3792
83	346	3776
84	349	3761
85	352	3746
86	355	3731
87	357	3704
88	360	3689
89	363	3677
90	365	3655
91	368	3637
92	371	3624
93	374	3611
94	377	3599
95	380	3586
96	383	3574
97	387	3562
98	390	3554
99	392	3534
100	395	3524
101	399	3516
102	402	3509
103	409	3530
104	413	3522
105	416	3513
106	420	3513
107	424	3503
108	428	3503
109	430	3482
110	434	3481
111	437	3470
112	440	3456
113	443	3448
114	447	3443
115	451	3444
116	456	3442
117	458	3426
118	462	3422
119	466	3423
120	470	3419
121	473	3410
122	478	3414
123	482	3410
124	486	3403
125	489	3397
126	493	3391
127	497	3390
128	502	3391
129	508	3399
130	513	3403
131	516	3395
132	520	3392
133	523	3386
134	527	3383
135	531	3373
136	533	3360
137	536	3352
138	539	3338
139	541	3325
140	544	3316
141	546	3301
142	549	3292
143	552	3285
144	555	3277
145	558	3266
146	561	3260
147	565	3253
148	568	3244
149	571	3238
150	574	3232
151	578	3228
152	581	3220
153	584	3212
154	588	3205
155	591	3201
156	595	3198
157	599	3193
158	602	3186
159	606	3183
160	609	3175
161	611	3163
162	614	3156
163	617	3149
164	620	3141
165	623	3134
166	626	3127
167	630	3123
168	634	3118
169	636	3109
170	640	3105
171	644	3102
172	648	3098
173	652	3098
174	657	3098
175	660	3092
176	663	3086
177	667	3082
178	670	3076
179	674	3070
180	676	3059
181	679	3052
182	682	3046
183	685	3039
184	688	3034
185	691	3027
186	694	3018
187	697	3014
188	701	3008
189	704	3002
190	707	2996
191	710	2990
192	713	2983
193	716	2977
194	719	2971
195	721	2961
196	725	2955
197	728	2949
198	731	2943
199	734	2936
200	737	2931
201	740	2924
202	743	2918
203	745	2908
204	748	2902
205	751	2897
206	753	2888
207	757	2882
208	760	2877
209	763	2872
210	766	2866
211	769	2860
212	772	2854
213	775	2849
214	778	2844
215	781	2835
216	784	2829
217	787	2823
218	792	2826
219	795	2819
220	798	2813
221	802	2811
222	804	2804
223	809	2803
224	812	2799
225	816	2797
226	821	2798
227	825	2794
228	829	2791
229	832	2788
230	835	2781
231	838	2775
232	841	2770
233	844	2765
234	847	2760
235	851	2755
236	854	2750
237	857	2745
238	860	2740
239	862	2730
240	865	2725
241	868	2719
242	871	2715
243	874	2710
244	877	2704
245	880	2699
246	883	2694
247	886	2687
248	888	2680
249	890	2672
250	893	2667
251	897	2662
252	900	2657
253	903	2652
254	906	2647
255	909	2643
256	912	2639
257	915	2634
258	918	2629
259	922	2624
260	925	2619
261	928	2614
262	931	2610
263	934	2605
264	937	2600
265	940	2595
266	943	2590
267	946	2585
268	950	2582
269	953	2577
270	956	2573
271	959	2567
272	962	2563
273	967	2562
274	971	2561
275	976	2561
